"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2288","should login with created credentials and display username on homepage","chromium","2026-05-04","passed","2026-05-04","User Authentication","auth/login.spec.ts","",""
"","10639","should add 2 products to cart, verify total, delete one, and verify updated total","firefox","2026-05-04","passed","2026-05-04","Cart Management","cart/cart-management.spec.ts","",""
"","8894","Logged-in user can successfully purchase an item","webkit","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/logged-in-user-buy-item.spec.ts","",""
"","6247","Logged-in user can successfully purchase an item","firefox","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/logged-in-user-buy-item.spec.ts","",""
"","1045","should verify all products have consistent data structure","chromium","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","1035","seed","webkit","2026-05-04","passed","2026-05-04","Test Utilities","seed.spec.ts","",""
"","1683","should extract all products from first and second page","firefox","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","4354","should create a new account with random credentials","firefox","2026-05-04","passed","2026-05-04","User Authentication","auth/signup.spec.ts","",""
"","5864","Not logged-in user can add to cart and complete purchase as guest","webkit","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/not-logged-in-user-buy-item.spec.ts","",""
"","178","seed","chromium","2026-05-04","passed","2026-05-04","Test Utilities","seed.spec.ts","",""
"","1398","should verify all products have consistent data structure","firefox","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","4094","Not logged-in user can add to cart and complete purchase as guest","firefox","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/not-logged-in-user-buy-item.spec.ts","",""
"","7754","should add 2 products to cart, verify total, delete one, and verify updated total","chromium","2026-05-04","passed","2026-05-04","Cart Management","cart/cart-management.spec.ts","",""
"","3796","Logged-in user can successfully purchase an item","chromium","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/logged-in-user-buy-item.spec.ts","",""
"","8988","should login with created credentials and display username on homepage","webkit","2026-05-04","passed","2026-05-04","User Authentication","auth/login.spec.ts","",""
"","1290","should extract all products from first and second page","chromium","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","12927","should add 2 products to cart, verify total, delete one, and verify updated total","webkit","2026-05-04","passed","2026-05-04","Cart Management","cart/cart-management.spec.ts","",""
"","3147","should login with created credentials and display username on homepage","firefox","2026-05-04","passed","2026-05-04","User Authentication","auth/login.spec.ts","",""
"","3688","should verify all products have consistent data structure","webkit","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","271","seed","firefox","2026-05-04","passed","2026-05-04","Test Utilities","seed.spec.ts","",""
"","1915","should extract all products from first and second page","webkit","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","2786","Not logged-in user can add to cart and complete purchase as guest","chromium","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/not-logged-in-user-buy-item.spec.ts","",""
"","8202","should create a new account with random credentials","webkit","2026-05-04","passed","2026-05-04","User Authentication","auth/signup.spec.ts","",""
"","3335","should create a new account with random credentials","chromium","2026-05-04","passed","2026-05-04","User Authentication","auth/signup.spec.ts","",""
