"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1235","should extract all products from first and second page","chromium","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","2691","Not logged-in user can add to cart and complete purchase as guest","chromium","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/not-logged-in-user-buy-item.spec.ts","",""
"","13007","should add 2 products to cart, verify total, delete one, and verify updated total","webkit","2026-05-04","passed","2026-05-04","Cart Management","cart/cart-management.spec.ts","",""
"","9816","should add 2 products to cart, verify total, delete one, and verify updated total","firefox","2026-05-04","passed","2026-05-04","Cart Management","cart/cart-management.spec.ts","",""
"","4743","Not logged-in user can add to cart and complete purchase as guest","firefox","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/not-logged-in-user-buy-item.spec.ts","",""
"","6601","should add 2 products to cart, verify total, delete one, and verify updated total","chromium","2026-05-04","passed","2026-05-04","Cart Management","cart/cart-management.spec.ts","",""
"","4082","Logged-in user can successfully purchase an item","chromium","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/logged-in-user-buy-item.spec.ts","",""
"","8624","Logged-in user can successfully purchase an item","webkit","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/logged-in-user-buy-item.spec.ts","",""
"","2188","should login with created credentials and display username on homepage","chromium","2026-05-04","passed","2026-05-04","User Authentication","auth/login.spec.ts","",""
"","239","seed","chromium","2026-05-04","passed","2026-05-04","Test Utilities","seed.spec.ts","",""
"","14212","should login with created credentials and display username on homepage","webkit","2026-05-04","passed","2026-05-04","User Authentication","auth/login.spec.ts","",""
"","3655","should extract all products from first and second page","webkit","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","1682","should verify all products have consistent data structure","firefox","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","15584","should create a new account with random credentials","webkit","2026-05-04","passed","2026-05-04","User Authentication","auth/signup.spec.ts","",""
"","4218","should create a new account with random credentials","firefox","2026-05-04","passed","2026-05-04","User Authentication","auth/signup.spec.ts","",""
"","370","seed","firefox","2026-05-04","passed","2026-05-04","Test Utilities","seed.spec.ts","",""
"","3378","should verify all products have consistent data structure","webkit","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","1906","should extract all products from first and second page","firefox","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","4923","Not logged-in user can add to cart and complete purchase as guest","webkit","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/not-logged-in-user-buy-item.spec.ts","",""
"","3692","should create a new account with random credentials","chromium","2026-05-04","passed","2026-05-04","User Authentication","auth/signup.spec.ts","",""
"","960","should verify all products have consistent data structure","chromium","2026-05-04","passed","2026-05-04","Demoblaze Product Listing","products/product-listing.spec.ts","",""
"","3618","should login with created credentials and display username on homepage","firefox","2026-05-04","passed","2026-05-04","User Authentication","auth/login.spec.ts","",""
"","651","seed","webkit","2026-05-04","passed","2026-05-04","Test Utilities","seed.spec.ts","",""
"","6010","Logged-in user can successfully purchase an item","firefox","2026-05-04","passed","2026-05-04","Buy Item Workflow","buy/logged-in-user-buy-item.spec.ts","",""
